  n     cond(A)               Matlab                lu_pp               lu_spp  
                     error      residual     error     residual      error     residual
Vandermonde matrices (flipped with fliplr)
   5     2.6e+04     0.0e+00     0.0e+00     7.1e-15     2.6e-13     0.0e+00     0.0e+00  
   6     7.3e+05     4.1e-11     7.8e-13     4.9e-11     2.4e-12     3.4e-11     1.9e-12  
   7     2.4e+07     3.7e-11     2.3e-13     8.9e-10     2.0e-10     2.0e-09     2.4e-10  
   8     9.5e+08     3.5e-09     1.7e-10     6.0e-08     1.1e-08     5.1e-08     1.5e-09  
   9     4.2e+10     1.1e-07     3.6e-09     1.2e-06     2.0e-08     1.2e-06     3.4e-07  
  10     2.1e+12     1.7e-05     2.2e-07     1.1e-04     4.6e-05     2.6e-05     5.7e-06  
  11     1.2e+14     2.2e-03     1.9e-06     3.8e-03     1.4e-03     2.2e-03     1.8e-03  
  12     7.0e+15     3.8e-01     1.9e-04     3.1e-01     1.6e-02     4.6e-02     5.3e-01  
  13     1.1e+18     1.5e+00     2.5e-03     2.3e+01     7.2e-01     6.6e+01     2.8e+01  
  14     2.1e+18     2.1e+02     9.5e-02     1.6e+03     1.2e+02     9.7e+02     5.2e+03  
  15     9.9e+19     9.4e+04     8.7e+00     1.1e+05     3.2e+04     1.8e+05     1.6e+05  
Hilbert matices
   2     1.9e+01     9.0e-16     0.0e+00     6.0e-16     0.0e+00     6.0e-16     0.0e+00  
   3     5.2e+02     1.8e-14     2.2e-16     1.2e-15     2.2e-16     1.2e-15     2.2e-16  
   4     1.6e+04     5.4e-13     2.5e-16     1.5e-12     2.2e-16     7.8e-13     5.6e-16  
   5     4.8e+05     6.3e-12     2.5e-16     8.4e-13     6.0e-16     6.2e-13     7.5e-16  
   6     1.5e+07     6.8e-10     3.1e-16     9.8e-11     1.6e-16     1.3e-09     1.1e-16  
   7     4.8e+08     3.0e-08     5.0e-16     1.6e-08     9.6e-16     5.3e-09     9.4e-16  
   8     1.5e+10     6.7e-07     5.2e-16     9.8e-07     2.4e-15     7.3e-07     4.7e-16  
   9     4.9e+11     2.8e-05     5.6e-16     2.5e-05     2.8e-15     5.9e-05     7.9e-15  
  10     1.6e+13     5.2e-04     5.2e-16     1.7e-03     1.8e-15     9.0e-04     2.4e-14  
  11     5.2e+14     1.5e-02     4.2e-16     3.2e-02     8.6e-15     2.2e-02     6.0e-15  
  12     1.7e+16     9.0e-01     7.3e-16     4.8e-01     2.9e-14     1.3e+00     4.0e-14  
  13     6.9e+17     9.4e+00     7.9e-16     7.2e+00     2.6e-14     8.5e+00     9.4e-14  
  14     4.3e+17     9.5e+00     6.9e-16     1.5e+02     2.7e-13     1.4e+01     4.9e-14  
  15     4.5e+17     1.5e+01     1.3e-15     1.4e+01     6.5e-13     1.8e+01     3.7e-14  
Random matrices 
  10     4.3e+01     5.1e-15     2.9e-15     1.1e-14     5.6e-15     1.3e-14     3.4e-15  
 100     2.8e+03     1.3e-12     1.9e-13     5.9e-13     7.1e-13     1.2e-12     9.4e-13  
1000     6.6e+04     8.2e-11     2.0e-11     1.5e-10     5.6e-10     2.8e-10     1.2e-09  
2000     1.2e+05     1.5e-10     1.2e-10     9.4e-10     4.1e-09     2.4e-09     1.3e-08  
